REG_ANS,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,MODALIDADE,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,UF,CEP,DDD,TELEFONE,FAX,EMAIL,REPRESENTANTE,CARGO_REPRESENTANTE,REGIAO_DE_COMERCIALIZACAO,DATA_REGISTRO_ANS,DATA_DESCREDENCIAMENTO,MOTIVO_DO_DESCREDENCIAMENTO,DATA_PROCESSAMENTO
310042,51701878000195,UNIODONTO DE SÃO PAULO COOPERATIVA ODONTOLÓGICA,UNIODONTO DE SÃO PAULO,Cooperativa Odontológica,RUA MACHADO BITTENCOURT,430,,VILA CLEMENTINO,São Paulo,SP,4044001.0,11,35954026,35954010,admgeral@uniodonto-sp.com.br,MAUD NOGUEIRA FRAGOAS,PRESIDENTE,4.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
316695,53864922000103,UNIODONTO DO ABC COOPERATIVA ODONTOLÓGICA,UNIODONTO DO ABC,Cooperativa Odontológica,OSWALDO CRUZ,995,,OSWALDO CRUZ,São Caetano do Sul,SP,9540280.0,11,44381699,44381699,uniodonto@uniodontoabc.com.br,REGINA CELIA VASCONCELOS GABRIEL FERNANDEZ,PRESIDENTE,5.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
361593,96396395000162,UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO,UNIODONTO PAULISTA,Cooperativa Odontológica,Rua Silvia,110,10º andar - Edifício Santa Lúcia,Bela Vista,São Paulo,SP,1331010.0,11.0,31253040.0,31593181.0,ans@uniodontopaulista.com.br,LUIZ EDUARDO ZACCHARIAS,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
314315,44595858000111,UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS,UNIODONTO DO BRASIL,Cooperativa Odontológica,RUA CORREIA DIAS,185,,PARAÍSO,São Paulo,SP,4104000.0,11.0,59044400.0,,regulacao@uniodonto.coop.br,JOSÉ ALVES DE SOUZA NETO,DIRETOR PRESIDENTE,4.0,,,,2025-10-20 17:16:59.558180
319350,2030488000125,UNIODONTO TAUBATÉ COOPERATIVA DE TRABALHO ODONTOLOGICO,UNIODONTO TAUBATE,Cooperativa Odontológica,RUA DR. SOUZA ALVES,728,,CENTRO,Taubaté,SP,12020030.0,12.0,34110522.0,36292511.0,uniodonto@uniodontotaubate.com.br,ALEXANDRE CURSINO DE MOURA SANTOS,DIRETOR PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
313751,73162760000179,UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO,UNIODONTO SÃO JOSÉ DOS CAMPOS,Cooperativa Odontológica,PRAÇA PRESIDENTE KENNEDY,24,,CENTRO,São José dos Campos,SP,12245730.0,12.0,32026000.0,39422946.0,uniodontosjc@uniodontosjc.com.br,SERGIO BRITO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
347302,22130000125,UNIODONTO DE CACAPAVA COOPERATIVA ODONTOLOGICA,UNIODONTO,Cooperativa Odontológica,RUA CEL JOÃO  DIAS GUIMARÃES,20,,CENTRO,Caçapava,SP,12281350.0,12.0,36525619.0,36525373.0,uniodontocacapava@gmail.com,MARIA ANGELICA GIOVANELLI,SUPERINTENDENTE,5.0,,,,2025-10-20 17:16:59.558180
343056,531736000196,UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA,UNIODONTO DE JACAREÍ,Cooperativa Odontológica,AVENIDA MAJOR ACÁCIO FERREIRA,670,,JD. LEONÍDIA,Jacareí,SP,12327070.0,12.0,39528859.0,39528859.0,uniodonto@uniodontojac.com.br,GLÓRIA DE FÁTIMA CHAVES,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
331104,2064028000118,UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA,UNIODONTO PINDAMONHANGABA,Cooperativa Odontológica,PRAÇA PADRE JOÃO FARIA FIALHO,51,,CENTRO,Pindamonhangaba,SP,12400190.0,12.0,36446000.0,,uniodontopinda@uniodontopinda.com.br,ACÍLIA APARECIDA CÉSAR LOURENÇO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
382655,2149799000108,UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA,UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA,Cooperativa Odontológica,PRAÇA DOUTOR GAMA RODRIGUES,365,,CRUZ,Lorena,SP,12606080.0,12.0,31532900.0,31532746.0,admwanda@uniodontovalehistorico.com.br,WANDA MARIA RICOTA DE MELLO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
366552,45056744000166,UNIODONTO DE SANTOS - COOPERATIVA ODONTOLÓGICA,UNIODONTO DE SANTOS,Cooperativa Odontológica,RUA LUIZ DE CAMOES,58,CASA,VILA MATHIAS,Santos,SP,11015400.0,13,32321612,32321613,uniodonto@uniodontosantos.com.br,SILVANA CARDOSO REIS,PRESIDENTE,5.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
309249,2479423000161,UNIODONTO DE PRAIA GRANDE - COOPERATIVA ODONTOLOGICA,UNIODONTO PRAIA GRANDE,Cooperativa Odontológica,RUA CAMPINAS,108,,BOQUEIRÃO,Praia Grande,SP,11701110.0,13,34736667,4736667,johnny@praiagrande.com.br,JOHNNY MARCOCHI,VICE PRESIDENTE,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
340961,53764726000167,UNIODONTO DE BAURU COOPERATIVA DE TRABALHO ODONTOLOGICA,UNIODONTO DE BAURU COOPERATIVA DE TRABALHO ODONTOLOGICA,Cooperativa Odontológica,RUA GUSTAVO MACIEL,11-11,,CENTRO,Bauru,SP,17015320.0,14,2347466,,uniobru@travelnet.com.br,ACYR SANTINHO MOTA,LIQUIDANTE,,,,Deliberação de Diretoria Colegiada,2025-10-20 17:16:59.558180
410411,3268407000192,UNIODONTO DE PEDERNEIRAS COOPERATIVA ODONTOLOGICA,UNIODONTO DE PEDERNEIRAS,Cooperativa Odontológica,AV TIRADENTES,138,SUL,CENTRO,Pederneiras,SP,17280000.0,14,2524356,2524356,uniodonto@bironet.com.br,JUAREZ PANDOLFI BUENO DE SOUZA,DIRETOR-PRESIDENTE,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
303089,735595000123,UNIODONTO DE TUPÃ COOPERATIVA ODONTOLÓLOGICA,UNIODONTO DE TUPÃ,Cooperativa Odontológica,RUA: GUARANIS,846,,CENTRO,Tupã,SP,17600400.0,14,4413133,4413133,tupa.uniodonto@terrra.com.br,TELMO FERREIRA ZAMPIERI DE OLIVEIRA,DELEGADO,5.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
360686,2225482000103,UNIODONTO DE LENÇÓIS PAULISTA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE LENÇÓIS PAULISTA,Cooperativa Odontológica,RUA CEL. JOAQUIM GABRIEL,637,,CENTRO,Lençóis Paulista,SP,18680090.0,14,32633133,32633133,uniodontolp@terra.com.br,RICARDO HUMBERTO ARTIOLI GRASSI,PRESIDENTE,6.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
34894,2154373000142,UNIODONTO DE OURINHOS  - COOPERATIVA ODONTOLOGICA,,Cooperativa Odontológica,RUA PASCHOAL HENRIQUE,400,,BAIRRO DA CRIANÇA,Ourinhos,SP,19900000.0,14,3227301,3227301,,,,,,,Descumprimento da Circular SUSEP no. 77/1999,2025-10-20 17:16:59.558180
344681,847821000168,UNIODONTO DE LINS COOPERATIVA ODONTOLOGICA,UNIODONTO DE LINS COOPERATIVA ODONTOLÓGICA,Cooperativa Odontológica,RUA PEDRO DE TOLEDO,880,,CENTRO,Lins,SP,16400106.0,14.0,35235252.0,,gerencia@uniodontolins.com.br,ADRIANA MOYA MARTELLI,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
311669,14922000158,UNIODONTO DE AVARE COOPERATIVA ODONTOLÓGICA,UNIODONTO DE AVARE,Cooperativa Odontológica,RUA DISTRITO FEDERAL,1001,,CENTRO,Avaré,SP,18700160.0,14.0,37322303.0,,uniodontoavare@uol.com.br,WALDIR CÉSAR DE SOUZA,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
370746,67859660000101,UNIODONTO DE ITAPETININGA COOPERATIVA TRABALHO ODONTOLOGICO,UNIODONTO DE ITAPETININGA,Cooperativa Odontológica,RUA PEDRO MARQUES,531,,CENTRO,Itapetininga,SP,18200270.0,15,32726811,32713148,orgband@orgband.com.br,MARIA HELENA PIRES,PRESIDENTE,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
334243,58702853000155,UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA,UNIODONTO SOROCABA,Cooperativa Odontológica,AV. BARÃO DE TATUI,628,,J. VERGUEIRO,Sorocaba,SP,18030000.0,15.0,32349424.0,32349424.0,uniodontosor@uniodontosorocaba.com.br,VALERIA REGINA ATHAYDE,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
365718,45295086000165,UNIODONTO DE RIBEIRÃO PRETO COOPERATIVA DE TRABALHO ODONTOLO,UNIODONTO DE RIBEIRÃO PRETO,Cooperativa Odontológica,AV 9 DE JULHO,1405,,JD AMERICA,Ribeirão Preto,SP,14015170.0,16,6352551,6352551,uniodontorp@netsite.com.br,EDUARDO AFFONSO DOS REIS,PRESIDENTE,1.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
333395,1213182000141,UNIODONTO DE FRANCA - COOPERATIVA ODONTOLOGICA,UNIODONTO DE FRANCA,Cooperativa Odontológica,RUA IPÊ,1658,,VILA FLORES,Franca,SP,14400420.0,16,37214443,37214443,uniodonto.franca@uol.com.br,JOÃO CARLOS DE CASTRO,PRESIDENTE,6.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
335525,54912241000136,UNIODONTO SÃO CARLOS -  COOPERATIVA ODONTOLÓGICA,UNIODONTO SÃO CARLOS,Cooperativa Odontológica,RUA 15 DE NOVEMBRO,2597,,CENTRO,São Carlos,SP,13560241.0,16.0,33626062.0,,uniodontosaocarlos@terra.com.br,NIVEA CELIA BONADIO COELHO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
316997,65442162000125,UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE ARARAQUARA,Cooperativa Odontológica,RUA VOLUNTARIOS DA PATRIA,1947,,CENTRO,Araraquara,SP,14801320.0,16.0,33321700.0,33037131.0,araraquara@uniodontoararaquara.com.br,GUSTAVO LORIA LEONI,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
340120,390564000188,UNIODONTO ATHENAS PAULISTA - COOPERATIVA ODONTOLÓGICA,UNIODONTO DE JABOTICABAL,Cooperativa Odontológica,RUA SANTO ANDRÉ,340,,NOVA JABOTICABAL,Jaboticabal,SP,14887030.0,16.0,32021601.0,32021601.0,joaoleonardo@uniodontoathenas.coop.br,JOÃO LEONARDO DELLA LIBERA FILHO,VICE-PRESIDENTE DE ADMINISTRAÇÃO E FINAN,5.0,,,,2025-10-20 17:16:59.558180
350290,1902941000183,UNIODONTO DE TAQUARITINGA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE TAQUARITINGA COOPERATIVA ODONTOLÓGICA,Cooperativa Odontológica,RUA GENERAL OSÓRIO,1309,,CENTRO,Taquaritinga,SP,15900000.0,16.0,97334972.0,,rosana@uniodontotaquaritinga.com.br,ODILON GUEDES BARRETO JUNIOR,DIRETOR PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
336238,1592738000158,UNIODONTO DE MONTE ALTO COOPERATIVA ODONTOLOGICA,UNIODONTO DE MONTE ALTO,Cooperativa Odontológica,RUA GUSTAVO DE GODOY,597,,CENTRO,Monte Alto,SP,15910000.0,16.0,32425776.0,32432772.0,uniodontoma@uol.com.br,ADRIEN CÉSAR GATO,PRESIDENTE,6.0,,,,2025-10-20 17:16:59.558180
307696,2320499000140,UNIODONTO DE BARRETOS - COOPERATIVA ODONTOLÓGICA,UNIDONTO DE BARRETOS,Cooperativa Odontológica,RUA 18,71,,CENTRO,Barretos,SP,14780680.0,17,33234100,33234100,uniodontobarretos@investnet.com.br,INAMA DE MELLO FILHO,PRESIDENTE,6.0,,,Deliberação de Diretoria Colegiada,2025-10-20 17:16:59.558180
362875,2410865000151,UNIODONTO DE OLIMPIA-COOPERATIVA ODONTOLOGICA,UNIODONTO,Cooperativa Odontológica,RUA AMÉRICO BRASILIENSE,958,,CENTRO,Olímpia,SP,15400000.0,17,2818698,2818157,uniodonto@ollimpianet.com.br,DÉCIO TROSDORF FILHO,PRESIDENTE,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
327093,66095423000140,UNIODONTO BEBEDOURO - COOPERATIVA ODONTOLÓGICA,UNIODONTO,Cooperativa Odontológica,RUA VICENTE PASCHOAL,1261,,CENTRO,Bebedouro,SP,14700340.0,17.0,33440700.0,33440700.0,adm@uniodontobebedouro.coop.br,JOÃO PAULO TOLLER,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
303259,53206108000100,UNIODONTO SÃO JOSÉ DO RIO PRETO - COOPERATIVA ODONTOLÓGICA,UNIODONTO,Cooperativa Odontológica,RUA INDEPENDENCIA,2651,,CENTRO,São José do Rio Preto,SP,15010110.0,17.0,32118400.0,,uniodorp@uniodontoriopreto.com.br,JOSÉ CARLOS AFONSO CUGINOTTI,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
350630,1422924000149,UNIODONTO DE VOTUPORANGA COOPERATIVA ODONTOLOGICA,UNIODONTO DE VOTUPORANGA COOPERATIVA ODONTOLOGICA,Cooperativa Odontológica,RUA FREI DAMIÃO,2856,,SANTA ELISA,Votuporanga,SP,15505187.0,17.0,34213395.0,34213395.0,uniodonto@votuporanga.com.br,JOSE LUIZ PEREIRA,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
301647,2015569000156,UNIODONTO DE FERNANDOPOLIS COOPERATIVA ODONTOLOGICA,,Cooperativa Odontológica,AV DOS ARNALDOS,830,TERREO,CENTRO,Fernandópolis,SP,15600000.0,17.0,91663484.0,34626000.0,uniodontofer@terra.com.br,EDUARDO HAMILTON D¿AVILA,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
309257,2085247000183,UNIODONTO DE JALES - COOPERATIVA ODONTOLÓGICA,,Cooperativa Odontológica,RUA SETE,2444,,CENTRO,Jales,SP,15700000.0,17.0,36322293.0,36322293.0,uniodontojales@terra.com.br,FLAVIA MARTIM,VOGAL,5.0,,,,2025-10-20 17:16:59.558180
354686,855599000145,UNIODONTO DE CATANDUVA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE CATANDUVA,Cooperativa Odontológica,PRAÇA 9 DE JULHO,141,,CENTRO,Catanduva,SP,15800225.0,17.0,35232516.0,35232516.0,uniodonto@uniodontocatanduva.com.br,JOSÉ EDUARDO HADDAD,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
402516,3005846000102,UNIODONTO DE CAMPOS - COOPERATIVA ODONTOLOGICA,UNIODONTO DE CAMPOS COOPERATIVA ODONTOLOGICA,Cooperativa Odontológica,RUA SALDANHA MARINHO,416,LOJA 218,CENTRO,Campos dos Goytacazes,RJ,28010270.0,17.0,33435086.0,27334321.0,gerencia@uniodontocampos.com.br,MARCOS LINCOLN DE SOUZA MUNIZ JUNIOR,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
336581,1990598000176,UNIODONTO DE PENAPOLIS,UNIODONTO DE PENAPOLIS COOPERATIVA ODONTOLOGICA,Cooperativa Odontológica,AV.OLSEN,692,,CENTRO,Penápolis,SP,16300000.0,18,6525408,6525408,consultoria@elciomarques.br,FRANCISCO ALBERTO AZANHA FALLEIROS,PRESIDENTE,6.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
364878,2213082000188,UNIODONTO DE ASSIS COOPERATIVA ODONTOLOGICA,UNIODONTO DE ASSIS,Cooperativa Odontológica,RUA SEBASTIAO DA SULVA LEITE,1044,,CENTRO,Assis,SP,19800000.0,18,3225875,3225875,,DR.  EDUARDO DE CAMARGO NETO,ADMINISTRADOR,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
362824,1856688000179,UNIODONTO DE ARAÇATUBA COOPERATIVA ODONTOLOGICA,UNIODONTO ARACATUBA,Cooperativa Odontológica,RUA GENERAL OSÓRIO,310,,CENTRO,Araçatuba,SP,16010290.0,18.0,31175271.0,31175273.0,uniodontoaracatuba@terra.com.br,PAULO CEZAR BATAGELO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
336017,172586000171,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA,UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLÓGICA,Cooperativa Odontológica,AVENIDA CORONEL JOSÉ SOARES MARCONDES,454,,VILA MACHADINHO,Presidente Prudente,SP,19020120.0,18.0,39017764.0,39017765.0,uniodonto@uniodontoprudente.com.br,EDUARDO MITSUO OTIAI,DIRETOR PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
392677,461585000147,UNIODONTO DE ARARAS COOPERATIVA ODONTOLOGICA,,Cooperativa Odontológica,RUA JULIO MESQUITA,513,SALA 13,CENTRO,Araras,SP,13600000.0,19,5415713,5415713,hsf@linkway.com.br,HUGO SIGNORETTI FILHO,X,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
340570,64567407000188,UNIODONTO DE M. GUAÇU COOP. TRAB. ODONTOL.,UNIODONTO,Cooperativa Odontológica,PÇA. PADRE ARMANI,73,,CENTRO,Mogi Guaçu,SP,13840000.0,19,8611445,8912109,luma@ft.com.br,,,,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
410331,3345621000103,UNIODONTO LESTE PAULISTA COOP. ODONTOLOGICA,UNIODONTO LESTE PAULISTA,Cooperativa Odontológica,RUA SÃO JOÃO,413,SALA 09 - 2ª ANDAR,CENTRO,São João da Boa Vista,SP,13870222.0,19,36231562,,unilestepaulista@bol.com.br,REGINA HELENA MILAN LISE NOGUEIRA,PRESIDENTE,6.0,,,Deliberação de Diretoria Colegiada,2025-10-20 17:16:59.558180
350494,51304798000104,UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA,UNIODONTO DE CAMPINAS,Cooperativa Odontológica,AV BRASIL,200,,VILA ITAPURA,Campinas,SP,13023075.0,19.0,33224000.0,33224006.0,jsilva@uniodontocampinas.com.br,VLADIMIR BORIN PACHECO JUNIOR,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
346004,52204526000197,UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA,UNIODONTO DE PIRACICABA,Cooperativa Odontológica,RUA ALFARES JOSÉ CAETANO,1352,,CENTRO,Piracicaba,SP,13400123.0,19.0,34011770.0,34011770234.0,atendimento@uniodontopiracicaba.com.br,CLAUDIO ROBERTO ZAMBELLO,DIRETOR PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
347604,69015113000167,UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA,Cooperativa Odontológica,RUA PADRE ANCHIETA,105,VILA PAVAN,CENTRO,Americana,SP,13465000.0,19.0,34616728.0,34611430.0,uniodontoamer@uol.com.br,SILNEY MARCOS BERALDO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
369462,63062350000100,UNIODONTO DE LIMEIRA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE LIMEIRA,Cooperativa Odontológica,RUA TREZE DE MAIO,70,,JARDIM MERCEDES,Limeira,SP,13480171.0,19.0,34427899.0,34427899.0,gerencia@uniodontolimeira.com.br,JOSEMARY APARECIDA PAERÓ DE BARROS CAMARGO,DIRETORA DE OPERAÇÕES,5.0,,,,2025-10-20 17:16:59.558180
349011,96609292000133,UNIODONTO DE RIO CLARO COOPERATIVA ODONTOLOGICA,UNIODONTO DE RIO CLARO,Cooperativa Odontológica,RUA 2,918,AVS.3 E 5,CENTRO,Rio Claro,SP,13500150.0,19.0,35246475.0,35248738.0,uniodontorc@uniodontorc.com.br,ROSANGELA DA SILVEIRA FREITAS,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
378941,2260283000136,UNIODONTO PIRASSUNUNGA - COOPERATIVA ODONTOLÓGICA,UNIODONTO DE PIRASSUNUNGA,Cooperativa Odontológica,RUA JOAQUIM PROCÓPIO DE ARAÚJO,1470,,CENTRO,Pirassununga,SP,13630082.0,19.0,35611165.0,35611165.0,uniopirass@uniodontopirassununga.com.br,EDGAR SAGGIORATTO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
378682,1221295000199,UNIODONTO DE SAO JOSE DO RIO PARDO - COOPERATIVA ODONTOLÓGICA,UNIODONTO SÃO JOSÉ DO RIO PARDO,Cooperativa Odontológica,AVENIDA INDEPENDÊNCIA,5,,CENTRO,São José do Rio Pardo,SP,13720000.0,19.0,36816729.0,36814229.0,financeiro@uniodontosjrpardo.com.br,ADRIANO CALSONE,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
318230,28958148000152,UNIODONTO DO RIO DE JANEIRO COOPERATIVA ODONTOLÓGICA LTDA,UNIODONTO-RJ,Cooperativa Odontológica,AV. PASSOS,120,5 - 10 - 11 -12 andares,CENTRO,Rio de Janeiro,RJ,20051040.0,21,21950200,21950200,uniodonto-rj@uol.com.br,WERTHER ANTONIO LIMA FIDALGO,PRESIDENTE,4.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
348350,769168000166,UNIODONTO LESTE FLUMINENSE COOPERATIVA DE TRABALHO ODONTOLÓGICO LTDA.,UNIODONTO LESTE FLUMINENSE,Cooperativa Odontológica,RUA DA CONCEICAO,188,GRUPO 2102 AB,CENTRO,Niterói,RJ,24020083.0,21,21963366,21963366,gerencia@uniodonto-lf.com.br,LUIZ ANTONIO DE ALMEIDA E SILVA,PRESIDENTE,5.0,,,Deliberação de Diretoria Colegiada,2025-10-20 17:16:59.558180
408565,3225705000103,UNIODONTO TERESÓPOLIS - COOPERATIVA ODONTOLÓGICA,UNIODONTO TERESOPOLIS,Cooperativa Odontológica,RUA FRANCISCO SÁ,336,,VARZEA,Teresópolis,RJ,25953010.0,21,27423411,26431332,uniodontotere@yahoo.com.br,MARCIA HADDAD BARROS DE MENDONÇA,PRESIDENTE,6.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
411701,3295630000129,UNIODONTO DE NOVA IGUAÇU COOPERATIVA ODONTOLÓGICA,,Cooperativa Odontológica,RUA ATHAYDE PIMENTA DE MORAES,395,,CENTRO,Nova Iguaçu,RJ,26210190.0,21,26684004,26684827,uniodontoni@uniodontoni.com.br,STENIO DA SILVA FIGUEIREDO,PRESIDENTE,5.0,,,Alternat. à Liquidação - Deliberação de Diretoria Colegiada,2025-10-20 17:16:59.558180
